trial_num,A_px,W_px,ID_bits,MT_ms,points,total_clicks
1,700,50,3.9069,786.9,2,1
2,500,50,3.4594,823.8,1,1
3,600,50,3.7004,920.6,2,1
4,150,120,1.1699,525.9,2,1
5,800,50,4.0875,804.2,2,1
6,700,50,3.9069,711.4,1,1
7,700,50,3.9069,613.8,2,1
8,400,100,2.3219,602.9,2,1
9,200,100,1.585,510.7,1,1
10,200,100,1.585,520.5,2,1
11,500,50,3.4594,710.6,2,1
12,700,50,3.9069,804.5,1,1
13,500,100,2.585,634.6,2,1
14,500,100,2.585,487.9,2,1
15,700,50,3.9069,684,1,1
16,300,100,2,531.1,2,1
17,300,100,2,466.1,2,1
18,600,100,2.8074,533.8,2,1
19,400,100,2.3219,515.3,2,1
20,200,100,1.585,447.4,2,1
21,200,100,1.585,473.4,2,1
22,600,100,2.8074,561.3,1,1
23,500,50,3.4594,650.9,1,1
24,500,100,2.585,550.5,2,1
25,800,50,4.0875,603.8,2,1
26,400,100,2.3219,457,2,1
27,500,100,2.585,535.7,2,1
28,200,100,1.585,457.3,2,1
29,500,50,3.4594,665.1,1,1
30,500,50,3.4594,585.6,2,1
31,700,50,3.9069,604.7,2,1
32,150,120,1.1699,504.6,2,1
33,800,50,4.0875,625.6,2,1
34,600,50,3.7004,671.3,2,1
35,600,100,2.8074,555.7,2,1
36,150,120,1.1699,456.5,1,1
37,600,100,2.8074,641.8,2,1
38,150,120,1.1699,623.8,1,1
39,150,120,1.1699,449.6,2,1
40,500,100,2.585,513.1,1,1
41,400,100,2.3219,439.1,2,1
42,300,100,2,459.7,2,1
43,700,50,3.9069,726.2,1,1
44,300,100,2,437.3,2,1
45,500,50,3.4594,618.1,1,1
46,400,100,2.3219,472.2,1,1
47,600,50,3.7004,573,2,1
48,300,100,2,404.4,1,1
49,300,100,2,410.4,2,1
50,200,100,1.585,382.8,2,1
51,600,100,2.8074,571.6,1,1
52,400,100,2.3219,383.6,1,1
53,600,100,2.8074,526.1,1,2
54,400,100,2.3219,494,2,1
55,300,100,2,463,2,1
56,500,100,2.585,509.6,2,1
57,600,100,2.8074,650.3,1,1
58,200,100,1.585,581.4,1,1
59,500,100,2.585,575.6,1,1
60,700,50,3.9069,621.3,1,1
61,600,50,3.7004,568.8,2,1
62,200,100,1.585,389.6,1,1
63,600,50,3.7004,637.4,2,1
64,500,50,3.4594,504.8,2,1
65,400,100,2.3219,457.7,1,1
66,500,100,2.585,538,2,1
67,150,120,1.1699,374.4,2,1
68,500,50,3.4594,640.8,2,1
69,600,50,3.7004,564.8,2,1
70,400,100,2.3219,492.5,2,1
71,200,100,1.585,461.7,1,1
72,600,50,3.7004,643.7,1,1
73,600,50,3.7004,535.9,1,1
74,800,50,4.0875,597.5,1,2
75,300,100,2,441,2,1
76,600,100,2.8074,511.4,1,1
77,500,50,3.4594,504.8,0,2
78,800,50,4.0875,655.7,2,1
79,150,120,1.1699,418.4,1,1
80,150,120,1.1699,434.4,2,1
81,300,100,2,485,2,1
82,800,50,4.0875,579.6,1,1
83,800,50,4.0875,597.7,1,1
84,500,100,2.585,396.6,2,1
85,150,120,1.1699,355,2,1
86,150,120,1.1699,418,1,1
87,600,100,2.8074,531,1,1
88,800,50,4.0875,579.8,2,1
89,600,50,3.7004,468,1,1
90,200,100,1.585,383.4,2,1
91,800,50,4.0875,632.2,1,1
92,400,100,2.3219,441.5,1,1
93,700,50,3.9069,645.9,1,1
94,500,100,2.585,478.5,1,1
95,500,50,3.4594,539.6,0,2
96,800,50,4.0875,632.5,2,1
97,600,50,3.7004,559.3,2,1
98,600,100,2.8074,512.2,2,1
99,300,100,2,415.5,1,2
100,700,50,3.9069,619.8,1,1
